exp no,Run,Source Report,Infill Density (%),Nozzle Temperature (C),Infill Pattern,Force,Area,Tensile Stress
87,29,Plan pokusa 26.11.2024 (Third messurment),80,240,Triangle,241.499,12,20.12491667
88,30,Plan pokusa 6.11.2024 (First messurment),45.8579,254.142,Triangle,147.096,12,12.258
89,30,Plan pokusa 15.11.2024 (Second messurment),45.8579,254.142,Triangle,150.864,12,12.572
90,30,Plan pokusa 26.11.2024 (Third messurment),45.8579,254.142,Triangle,151.84,12,12.65333333
91,31,Plan pokusa 6.11.2024 (First messurment),60,240,Grid,168.139,12,14.01158333
92,31,Plan pokusa 15.11.2024 (Second messurment),60,240,Grid,171.728,12,14.31066667
93,31,Plan pokusa 26.11.2024 (Third messurment),60,240,Grid,173.515,12,14.45958333
94,32,Plan pokusa 6.11.2024 (First messurment),60,260,Grid,164.301,12,13.69175
95,32,Plan pokusa 15.11.2024 (Second messurment),60,260,Grid,177.771,12,14.81425
96,32,Plan pokusa 26.11.2024 (Third messurment),60,260,Grid,189.238,12,15.76983333
97,33,Plan pokusa 6.11.2024 (First messurment),60,220,Triangle-Hexa,153.429,12,12.78575
98,33,Plan pokusa 15.11.2024 (Second messurment),60,220,Triangle-Hexa,146.629,12,12.21908333
99,33,Plan pokusa 26.11.2024 (Third messurment),60,220,Triangle-Hexa,136.582,12,11.38183333
